25,Ever Taste Product - Pasyala,45801,INV-46723,40,,3958.4,0
26,Ever Taste Product - Pasyala,45801,INV-46724,,4,3958.4,15833.6
27,Ever Taste Product - Pasyala,45805,INV-47111,30,,3958.4,0
28,Ever Taste Product - Pasyala,45805,INV-47113,,3,3958.4,11875.2
29,Ever Taste Product - Pasyala,45808,INV-47471,50,,3958.4,0
30,Ever Taste Product - Pasyala,45808,INV-47474,,5,3958.4,19792
1,Thilak Traders,45810,INV-47642,20,,3958.4,0
2,Thilak Traders,45810,INV-47643,,2,3958.4,7916.8
3,Thilak Traders,45812,INV-47931,20,,3958.4,0
4,Thilak Traders,45812,INV-47932,,2,3958.4,7916.8
5,Thilak Traders,45813,INV-48163,20,,3958.4,0
6,Thilak Traders,45813,INV-48164,,2,3958.4,7916.8
7,Thilak Traders,45815,INV-48336,20,,3958.4,0
8,Thilak Traders,45815,INV-48339,,2,3958.4,7916.8
9,Thilak Traders,45817,INV-48427,20,,3958.4,0
10,Thilak Traders,45817,INV-48428,,2,3958.4,7916.8
11,Thilak Traders,45819,INV-48534,10,,3958.4,0
12,Thilak Traders,45819,INV-48535,,1,3958.4,3958.4
13,Thilak Traders,45821,INV-48664,20,,3958.4,0
14,Thilak Traders,45821,INV-48665,,2,3958.4,7916.8
15,Thilak Traders,45822,INV-48760,30,,3958.4,0
16,Thilak Traders,45822,INV-48761,,3,3958.4,11875.2
17,Ever Taste Product - Pasyala,45812,INV-48013,40,,3958.4,0
18,Ever Taste Product - Pasyala,45812,INV-48018,,4,3958.4,15833.6
19,Ever Taste Product - Pasyala,45815,INV-48337,50,,3958.4,0
20,Ever Taste Product - Pasyala,45815,INV-48335,,5,3958.4,19792
21,Ever Taste Product - Pasyala,45820,INV-48595,20,,3958.4,0
22,Ever Taste Product - Pasyala,45820,INV-48596,,2,3958.4,7916.8
1,Thilak Traders,45825,INV-48920,40,,3958.4,0
2,Thilak Traders,45825,INV-48921,,4,3958.4,15833.6
3,Thilak Traders,45828,INV-49157,40,,3958.4,0
4,Thilak Traders,45828,INV-49158,,4,3958.4,15833.6
5,Thilak Traders,45833,INV-49417,40,,3958.4,0
6,Thilak Traders,45833,INV-49418,,4,3958.4,15833.6
7,Thilak Traders,45834,INV-49510,30,,3958.4,0
8,Thilak Traders,45834,INV-49511,,3,3958.4,11875.2
9,Thilak Traders,45836,INV-49713,20,,3958.4,0
10,Thilak Traders,45836,INV-49715,,2,3958.4,7916.8
11,Thilak Traders,45838,INV-49850,20,,3958.4,0
12,Thilak Traders,45838,INV-49852,,2,3958.4,7916.8
13,Ever Taste Product - Pasyala,45824,INV-48804,60,,3958.4,0
14,Ever Taste Product - Pasyala,45824,INV-48802,,6,3958.4,23750.4
